ID,PW,PH(V)/PW,PH/PW,SA,SA/PH(V)*PW,SFD,G_g,f2,f3,f4,f5,f7,f8,f9,f10,LD1,LD2,LD3,LD5,WC,IDNumber,Type
174,1088,1.023897059,1.108783273,305597.583,0.25,1.544,15.09457857,0.138,0.083,0.06,0.05,0.044,0.045,0.045,0.049,0.057,0.298,0.161,0.115,0.758837662,134,
175,927,1.190938511,1.220235503,314680.083,0.31,1.552,14.93871467,0.134,0.089,0.066,0.061,0.041,0.036,0.04,0.051,0.053,0.275,0.174,0.107,0.797709521,135,
176,884,1.021493213,1.151246433,269187.417,0.34,1.529,14.6653162,0.129,0.09,0.072,0.059,0.04,0.04,0.043,0.048,0.049,0.259,0.176,0.099,0.818642412,136,
177,789,1.615969582,1.604211603,146623.417,0.15,1.432,14.70494757,0.168,0.112,0.088,0.081,0.047,0.03,0.019,0.012,0.085,0.383,0.221,0.097,0.825132658,137,
178,1035,1.062801932,1.212723541,287506.917,0.25,1.535,15.03590592,0.153,0.099,0.066,0.049,0.038,0.034,0.031,0.041,0.061,0.327,0.178,0.091,0.76451334,138,
179,924,1.392857143,1.532596032,343785.917,0.29,1.547,15.31548144,0.128,0.092,0.072,0.062,0.048,0.043,0.044,0.047,0.053,0.271,0.173,0.109,0.809370529,139,
180,919,1.705114255,1.728990155,272760.75,0.19,1.516,15.61696616,0.17,0.111,0.085,0.063,0.044,0.039,0.038,0.034,0.069,0.335,0.222,0.105,0.716189378,140,
181,995,1.304522613,1.412627783,206503.167,0.16,1.48,15.20655906,0.18,0.12,0.086,0.064,0.044,0.034,0.025,0.021,0.082,0.375,0.242,0.075,0.78200064,141,
182,1022,1.340508806,1.583136692,210129.917,0.15,1.477,15.33058664,0.177,0.115,0.082,0.064,0.039,0.031,0.023,0.017,0.071,0.374,0.254,0.076,0.735489815,142,
183,957,1.925809822,2.134553615,291405.75,0.17,1.521,15.78534109,0.159,0.096,0.072,0.065,0.057,0.043,0.029,0.021,0.084,0.37,0.19,0.09,0.69581749,143,
184,1000,1.237,1.300023747,214747.583,0.17,1.49,15.17666406,0.152,0.087,0.066,0.057,0.056,0.057,0.051,0.039,0.069,0.308,0.201,0.133,0.775331412,144,
185,1171,1.177625961,1.336631299,166533.667,0.1,1.445,14.79312274,0.19,0.097,0.065,0.046,0.03,0.025,0.022,0.018,0.086,0.419,0.227,0.075,0.834306297,145,
186,794,1.329974811,1.617371048,116401.75,0.14,1.416,14.3512198,0.209,0.111,0.073,0.049,0.024,0.019,0.012,0.007,0.068,0.517,0.223,0.052,0.841060866,146,
