ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,WC,IDNumber,Type
99,1226,1013,0.826264274,1276.277045,1.041009009,497793.5,0.4,1.868,1.609,15.3333046,0.187,0.121,0.096,0.083,0.076,0.07,0.066,0.061,0.059,0.058,0.054,0.068,0.04,0.252,0.205,0.143,0.109,0.25,0.809993447,75,
100,1231,1395,1.13322502,1495.274406,1.214682702,359574.25,0.21,1.767,1.553,15.63097104,0.299,0.161,0.115,0.09,0.076,0.061,0.05,0.044,0.035,0.025,0.019,0.027,0.073,0.345,0.227,0.152,0.102,0.1,0.741358101,76,
101,1220,1360,1.114754098,1521.659631,1.247261992,233386.083,0.14,1.742,1.49,14.83193599,0.375,0.176,0.106,0.08,0.068,0.059,0.045,0.031,0.021,0.012,0.011,0.017,0.063,0.421,0.23,0.146,0.074,0.066,0.823287779,77,
102,1232,1182,0.959415584,1301.343008,1.056284909,464093.167,0.32,1.821,1.594,15.39072499,0.257,0.162,0.113,0.081,0.061,0.048,0.039,0.034,0.033,0.038,0.055,0.078,0.059,0.317,0.201,0.129,0.094,0.201,0.860650666,78,
103,1223,1179,0.964022895,1352.794195,1.106127715,306176.583,0.21,1.778,1.533,15.11352105,0.329,0.175,0.113,0.078,0.058,0.049,0.041,0.037,0.035,0.031,0.025,0.028,0.064,0.35,0.216,0.141,0.102,0.128,0.852721783,79,
105,1134,1346,1.186948854,1391.05277,1.226677928,363942.583,0.24,1.841,1.55,15.48882691,0.289,0.14,0.085,0.062,0.046,0.037,0.032,0.033,0.036,0.049,0.072,0.121,0.062,0.278,0.169,0.107,0.093,0.292,0.803439803,80,
106,1221,1283,1.050778051,1511.105541,1.237596676,393883.083,0.25,1.829,1.571,15.24184527,0.272,0.154,0.107,0.08,0.064,0.051,0.044,0.04,0.039,0.037,0.042,0.071,0.053,0.295,0.201,0.136,0.103,0.212,0.810468017,81,
107,1227,913,0.74409128,1218.229551,0.99285212,432425.25,0.39,1.84,1.596,15.20211664,0.236,0.152,0.106,0.072,0.059,0.058,0.064,0.061,0.053,0.046,0.046,0.048,0.039,0.266,0.201,0.159,0.14,0.195,0.831585489,82,
108,1002,1360,1.357285429,1398.968338,1.396175986,320330.417,0.24,1.814,1.536,15.58181211,0.29,0.146,0.088,0.068,0.056,0.051,0.048,0.047,0.051,0.06,0.058,0.038,0.065,0.295,0.177,0.129,0.129,0.205,0.774850577,83,
109,1155,1554,1.345454545,1706.356201,1.477364676,337458.333,0.19,1.781,1.543,15.47237154,0.337,0.179,0.111,0.074,0.058,0.045,0.035,0.032,0.032,0.032,0.033,0.031,0.061,0.356,0.219,0.135,0.098,0.131,0.771607978,84,
110,1233,913,0.740470397,1313.216359,1.065057874,380784.25,0.34,1.823,1.576,15.21265474,0.266,0.152,0.101,0.077,0.064,0.059,0.053,0.048,0.039,0.037,0.043,0.061,0.054,0.295,0.212,0.156,0.108,0.175,0.856947135,85,
111,1190,1158,0.973109244,1238.01847,1.040351655,290110.167,0.21,1.8,1.532,14.94071696,0.338,0.162,0.101,0.072,0.056,0.048,0.041,0.042,0.044,0.04,0.025,0.031,0.056,0.353,0.193,0.136,0.111,0.15,0.856393855,86,
112,745,1081,1.451006711,1099.496042,1.475833614,192339.833,0.24,1.831,1.485,14.77863468,0.254,0.138,0.093,0.066,0.055,0.046,0.043,0.042,0.045,0.056,0.065,0.096,0.06,0.277,0.178,0.123,0.106,0.256,0.797757277,87,
114,1019,1154,1.132482826,1169.416887,1.147612254,250204.917,0.21,1.813,1.517,14.9846015,0.285,0.16,0.106,0.07,0.048,0.038,0.036,0.034,0.034,0.035,0.044,0.11,0.066,0.314,0.198,0.108,0.079,0.235,0.806939254,88,
115,854,1209,1.415690867,1195.802111,1.400236664,244068.333,0.24,1.823,1.509,14.84968079,0.286,0.158,0.1,0.068,0.049,0.039,0.031,0.028,0.027,0.03,0.052,0.131,0.076,0.298,0.196,0.106,0.069,0.256,0.837794036,89,
116,688,1060,1.540697674,1090.261214,1.584681997,209389.167,0.29,1.836,1.496,14.74642691,0.258,0.133,0.091,0.064,0.056,0.049,0.044,0.051,0.06,0.063,0.069,0.061,0.055,0.27,0.169,0.136,0.138,0.231,0.776801962,90,
117,1193,1148,0.962279966,1239.337731,1.03884135,294024.25,0.21,1.77,1.534,15.14749216,0.282,0.147,0.114,0.091,0.077,0.069,0.059,0.049,0.04,0.033,0.026,0.013,0.054,0.328,0.233,0.173,0.111,0.1,0.720722591,91,
119,660,971,1.471212121,1165.459103,1.765847126,133001,0.21,1.778,1.434,14.24782346,0.304,0.151,0.094,0.07,0.058,0.044,0.046,0.049,0.054,0.057,0.042,0.031,0.076,0.301,0.188,0.162,0.135,0.139,0.786843854,92,
120,989,1062,1.073811931,1131.158311,1.143739445,152523.833,0.15,1.73,1.452,14.45350499,0.342,0.18,0.116,0.079,0.057,0.044,0.038,0.037,0.035,0.03,0.022,0.02,0.085,0.368,0.22,0.134,0.096,0.097,0.85216619,93,
121,1175,1354,1.152340426,1546.725594,1.316362207,340271.5,0.21,1.753,1.542,15.58467141,0.318,0.182,0.114,0.085,0.07,0.056,0.043,0.036,0.029,0.022,0.019,0.025,0.062,0.373,0.246,0.15,0.085,0.084,0.733381818,94,
122,773,1051,1.359637775,1267.042216,1.639123178,160915.917,0.2,1.803,1.456,14.8474567,0.257,0.127,0.092,0.068,0.057,0.053,0.053,0.053,0.058,0.063,0.057,0.062,0.053,0.289,0.17,0.14,0.134,0.213,0.719750779,95,
128,1063,1625,1.52869238,1716.91029,1.615155494,312472.917,0.18,1.797,1.536,15.78054787,0.298,0.172,0.107,0.075,0.066,0.058,0.054,0.052,0.047,0.034,0.019,0.017,0.063,0.32,0.213,0.142,0.117,0.145,0.719319938,96,
129,915,668,0.730054645,772.3192612,0.844064766,183924.083,0.3,1.833,1.476,14.446194,0.278,0.15,0.093,0.067,0.051,0.045,0.042,0.037,0.038,0.042,0.06,0.099,0.068,0.277,0.172,0.122,0.097,0.263,0.723660445,97,
130,1228,1251,1.018729642,1342.240106,1.093029402,340297.417,0.22,1.819,1.542,15.50971245,0.274,0.149,0.102,0.075,0.059,0.05,0.047,0.045,0.046,0.05,0.047,0.055,0.057,0.3,0.194,0.148,0.116,0.184,0.775541532,98,
