ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
81,717,910,1.269177127,981.232,1.368524407,118217.083,0.181183936,1.738,1.415,14.55040894,0.374,0.179,0.103,0.065,0.048,0.041,0.036,0.036,0.033,0.03,0.028,0.026,0.082,0.398,0.203,0.116,0.094,0.106,34.00000001,7.580000003,0.777058824,,51.89999998,0.16746872
82,1200,979,0.815833333,1062.643,0.885535833,167168.417,0.142295214,1.744,1.461,14.66788455,0.388,0.165,0.088,0.066,0.053,0.045,0.04,0.039,0.038,0.035,0.024,0.019,0.083,0.399,0.203,0.128,0.088,0.099,81.64,13.18,0.83855953,,47.23999999,0.171664037
83,761,971,1.275952694,1045.811,1.37425887,88329.667,0.119537098,1.673,1.38,14.26675771,0.392,0.162,0.099,0.077,0.068,0.058,0.044,0.031,0.021,0.017,0.013,0.019,0.101,0.39,0.228,0.152,0.07,0.058,33.86000001,6.279999997,0.81453042,,57.45000003,0.160087719
87,774,845,1.091731266,874.948,1.130423773,89731.667,0.13719809,1.725,1.378,14.13554213,0.348,0.155,0.099,0.08,0.072,0.064,0.054,0.045,0.03,0.021,0.014,0.018,0.077,0.352,0.238,0.177,0.099,0.057,31.52,5.469999998,0.826459391,,21.97999999,0.195166606
88,838,689,0.822195704,857.931,1.02378401,128495.083,0.222547781,1.785,1.43,14.50034318,0.313,0.166,0.1,0.063,0.045,0.039,0.042,0.05,0.052,0.048,0.043,0.039,0.076,0.32,0.193,0.143,0.124,0.144,71.56000003,13.39,0.812884293,,41.92,0.18125
89,848,754,0.889150943,844.492,0.995863208,131724,0.206014464,1.803,1.435,14.42104973,0.321,0.15,0.101,0.073,0.057,0.047,0.04,0.038,0.041,0.047,0.046,0.039,0.085,0.33,0.203,0.127,0.101,0.154,58.60999997,11.23999999,0.808223853,,36.62999998,0.186361617
90,1072,995,0.928171642,1025.922,0.957016791,196218.75,0.183959677,1.781,1.484,14.80401968,0.331,0.165,0.101,0.069,0.057,0.049,0.046,0.043,0.042,0.039,0.033,0.026,0.073,0.35,0.206,0.143,0.112,0.116,84.04,15.2,0.819133746,,52.38000003,0.174858223
91,995,1031,1.036180905,1161.537,1.167373869,153767.583,0.149893583,1.715,1.453,14.84660728,0.394,0.179,0.105,0.078,0.064,0.056,0.046,0.031,0.02,0.014,0.007,0.005,0.08,0.4,0.234,0.141,0.088,0.058,53.36999998,10.9,0.795765411,,26.78000001,0.16883923
92,1085,874,0.805529954,1184.847,1.092024885,170979,0.180302439,1.744,1.468,14.86172321,0.37,0.176,0.105,0.07,0.052,0.044,0.04,0.039,0.035,0.031,0.023,0.015,0.086,0.391,0.203,0.136,0.093,0.091,60.16999999,11.79000001,0.804055177,,63.33000002,0.174745895
93,861,846,0.982578397,928.1,1.077932636,115088.75,0.158000826,1.728,1.412,14.41671148,0.38,0.179,0.103,0.066,0.048,0.04,0.032,0.033,0.034,0.033,0.026,0.025,0.088,0.385,0.218,0.135,0.078,0.097,53.02000001,8.840000003,0.833270464,,22.12,0.175242356
94,874,647,0.7402746,797.731,0.912735698,148857.333,0.263241599,1.817,1.453,14.46941319,0.276,0.151,0.102,0.08,0.068,0.056,0.043,0.035,0.032,0.033,0.044,0.08,0.076,0.292,0.2,0.128,0.096,0.208,62.33999998,10.44,0.83253128,,47.96,0.160364146
95,868,799,0.920506912,906.152,1.043953917,126286.333,0.182091573,1.79,1.428,14.39448854,0.31,0.172,0.104,0.073,0.052,0.04,0.033,0.034,0.036,0.044,0.051,0.053,0.086,0.335,0.18,0.117,0.104,0.177,57.02999999,9.790000004,0.828335963,,47.98000002,0.179267875
96,966,730,0.755693582,970.14,1.004285714,138894.417,0.196963069,1.788,1.437,14.50489015,0.365,0.152,0.094,0.062,0.045,0.036,0.029,0.028,0.03,0.035,0.048,0.076,0.1,0.356,0.177,0.106,0.078,0.184,68.40000003,10.95,0.839912281,,54.15000002,0.208333333
97,576,594,1.03125,651.505,1.131085069,78742.417,0.230144083,1.728,1.376,14.08195584,0.37,0.182,0.111,0.078,0.058,0.047,0.043,0.037,0.03,0.021,0.015,0.011,0.1,0.395,0.224,0.136,0.088,0.058,27.30999999,5.329999999,0.804833394,,59.68999999,0.182888433
98,970,660,0.680412371,790.258,0.814698969,137053.417,0.214079064,1.785,1.445,14.49081865,0.299,0.162,0.105,0.079,0.062,0.051,0.046,0.04,0.037,0.034,0.039,0.046,0.08,0.334,0.212,0.147,0.097,0.13,51.2,9.280000002,0.81875,,50.19000001,0.164474779
99,988,550,0.556680162,847.677,0.857972672,121188.333,0.223018647,1.782,1.433,14.39714873,0.302,0.153,0.103,0.073,0.065,0.064,0.062,0.052,0.042,0.035,0.029,0.02,0.083,0.315,0.219,0.159,0.123,0.102,45.01999998,8.389999996,0.813638383,,66.11999999,0.198642589
100,1121,1071,0.955396967,1156.475,1.031645852,155219.667,0.129286049,1.742,1.455,14.71307124,0.345,0.183,0.107,0.068,0.059,0.053,0.049,0.039,0.031,0.024,0.019,0.023,0.09,0.385,0.219,0.138,0.087,0.08,63.48000002,11.1,0.825141777,,72.26000002,0.170093029
101,762,929,1.219160105,1019.438,1.337845144,76008.167,0.107371637,1.674,1.355,14.00491813,0.407,0.183,0.113,0.08,0.068,0.049,0.031,0.02,0.014,0.012,0.009,0.014,0.082,0.38,0.268,0.162,0.065,0.043,32.22000001,5.440000001,0.83116077,,19.73,0.17551191
102,945,862,0.912169312,981.297,1.038409524,159443.667,0.195734869,1.785,1.46,14.56956965,0.303,0.16,0.097,0.073,0.061,0.05,0.046,0.043,0.049,0.048,0.039,0.031,0.079,0.315,0.201,0.155,0.112,0.139,76.74000001,13.41,0.825254105,,40.88,0.224582701
103,711,861,1.210970464,926.243,1.302732771,70449.25,0.115080999,1.678,1.345,14.0913105,0.447,0.185,0.101,0.067,0.047,0.038,0.03,0.021,0.021,0.017,0.012,0.014,0.097,0.458,0.216,0.11,0.064,0.055,26.82,4.700000001,0.824757644,,32.94999998,0.207551708
